cod_reg,regione,cod_prov,provincia,comune,cod_istat,flag,arr_tot_res,arr_tot_nonres,arr_tot_tot,arr_alb_res,arr_alb_nonres,arr_alb_tot,arr_ext_res,arr_ext_nonres,arr_ext_tot,col16,pre_tot_res,pre_tot_nonres,pre_tot_tot,pre_alb_res,pre_alb_nonres,pre_alb_tot,pre_ext_res,pre_ext_nonres,pre_ext_tot,anno
160,PUGLIA,075,LECCE,Alessano,075002,,1368.0,188.0,1556.0,,,,,,,,4478.0,939.0,5417.0,,,,,,,2014
160,PUGLIA,075,LECCE,Alezio,075003,,491.0,34.0,525.0,,,,,,,,2298.0,118.0,2416.0,,,,,,,2014
160,PUGLIA,075,LECCE,Alliste,075004,,2499.0,245.0,2744.0,2092.0,189.0,2281.0,407.0,56.0,463.0,,10682.0,2099.0,12781.0,7859.0,1009.0,8868.0,2823.0,1090.0,3913.0,2014
160,PUGLIA,075,LECCE,Andrano,075005,,280.0,39.0,319.0,,,,,,,,1396.0,204.0,1600.0,,,,,,,2014
160,PUGLIA,075,LECCE,Bagnolo del Salento,075008,,250.0,33.0,283.0,,,,,,,,1474.0,190.0,1664.0,,,,,,,2014
160,PUGLIA,075,LECCE,Cannole,075012,,4375.0,139.0,4514.0,,,,,,,,20659.0,321.0,20980.0,,,,,,,2014
160,PUGLIA,075,LECCE,Carmiano,075014,,291.0,134.0,425.0,,,,,,,,777.0,607.0,1384.0,,,,,,,2014
160,PUGLIA,075,LECCE,Carpignano Salentino,075015,,4093.0,1515.0,5608.0,3535.0,1394.0,4929.0,558.0,121.0,679.0,,16931.0,6299.0,23230.0,14455.0,5787.0,20242.0,2476.0,512.0,2988.0,2014
160,PUGLIA,075,LECCE,Casarano,075016,,1791.0,119.0,1910.0,1504.0,111.0,1615.0,287.0,8.0,295.0,,5739.0,396.0,6135.0,4110.0,372.0,4482.0,1629.0,24.0,1653.0,2014
160,PUGLIA,075,LECCE,Castrignano del Capo,075019,,18086.0,4275.0,22361.0,14014.0,3633.0,17647.0,4072.0,642.0,4714.0,,79151.0,11513.0,90664.0,65668.0,9836.0,75504.0,13483.0,1677.0,15160.0,2014
160,PUGLIA,075,LECCE,Cavallino,075020,,646.0,64.0,710.0,,,,,,,,1771.0,297.0,2068.0,,,,,,,2014
160,PUGLIA,075,LECCE,Copertino,075022,,1627.0,88.0,1715.0,,,,,,,,4008.0,339.0,4347.0,,,,,,,2014
160,PUGLIA,075,LECCE,Corigliano d'Otranto,075023,,2695.0,1096.0,3791.0,,,,,,,,7738.0,4853.0,12591.0,,,,,,,2014
160,PUGLIA,075,LECCE,Cursi,075025,,300.0,31.0,331.0,,,,,,,,863.0,142.0,1005.0,,,,,,,2014
160,PUGLIA,075,LECCE,Cutrofiano,075026,,1166.0,175.0,1341.0,,,,,,,,2992.0,778.0,3770.0,,,,,,,2014
160,PUGLIA,075,LECCE,Diso,075027,,1317.0,410.0,1727.0,,,,,,,,6603.0,1748.0,8351.0,,,,,,,2014
160,PUGLIA,075,LECCE,Gagliano del Capo,075028,,5432.0,1110.0,6542.0,,,,,,,,25296.0,3685.0,28981.0,,,,,,,2014
160,PUGLIA,075,LECCE,Galatina,075029,,4407.0,542.0,4949.0,,,,,,,,15641.0,2301.0,17942.0,,,,,,,2014
160,PUGLIA,075,LECCE,Galatone,075030,,1453.0,86.0,1539.0,,,,,,,,5149.0,415.0,5564.0,,,,,,,2014
160,PUGLIA,075,LECCE,Gallipoli,075031,,80764.0,16592.0,97356.0,36339.0,9473.0,45812.0,44425.0,7119.0,51544.0,,397560.0,68789.0,466349.0,141690.0,36970.0,178660.0,255870.0,31819.0,287689.0,2014
160,PUGLIA,075,LECCE,Giurdignano,075033,,2647.0,1637.0,4284.0,1836.0,1533.0,3369.0,811.0,104.0,915.0,,11237.0,6308.0,17545.0,7737.0,5975.0,13712.0,3500.0,333.0,3833.0,2014
160,PUGLIA,075,LECCE,Lecce,075035,,161616.0,48445.0,210061.0,136857.0,38788.0,175645.0,24759.0,9657.0,34416.0,,363078.0,127358.0,490436.0,257934.0,98776.0,356710.0,105144.0,28582.0,133726.0,2014
160,PUGLIA,075,LECCE,Lequile,075036,,1321.0,103.0,1424.0,,,,,,,,3720.0,340.0,4060.0,,,,,,,2014
160,PUGLIA,075,LECCE,Leverano,075037,,2094.0,343.0,2437.0,,,,,,,,9407.0,1297.0,10704.0,,,,,,,2014
160,PUGLIA,075,LECCE,Lizzanello,075038,,5805.0,589.0,6394.0,,,,,,,,42979.0,7620.0,50599.0,,,,,,,2014
160,PUGLIA,075,LECCE,Maglie,075039,,3013.0,429.0,3442.0,2542.0,347.0,2889.0,471.0,82.0,553.0,,7167.0,1185.0,8352.0,5462.0,859.0,6321.0,1705.0,326.0,2031.0,2014
160,PUGLIA,075,LECCE,Martano,075040,,896.0,249.0,1145.0,,,,,,,,3407.0,1079.0,4486.0,,,,,,,2014
160,PUGLIA,075,LECCE,Matino,075042,,1588.0,73.0,1661.0,,,,,,,,4144.0,214.0,4358.0,,,,,,,2014
160,PUGLIA,075,LECCE,Melendugno,075043,,49887.0,3266.0,53153.0,35984.0,1752.0,37736.0,13903.0,1514.0,15417.0,,342316.0,17068.0,359384.0,253216.0,10148.0,263364.0,89100.0,6920.0,96020.0,2014
160,PUGLIA,075,LECCE,Minervino di Lecce,075047,,5313.0,1181.0,6494.0,4789.0,852.0,5641.0,524.0,329.0,853.0,,33914.0,9450.0,43364.0,32262.0,8414.0,40676.0,1652.0,1036.0,2688.0,2014
160,PUGLIA,075,LECCE,Monteroni di Lecce,075048,,880.0,29.0,909.0,,,,,,,,2634.0,139.0,2773.0,,,,,,,2014
160,PUGLIA,075,LECCE,Morciano di Leuca,075050,,5709.0,354.0,6063.0,4160.0,196.0,4356.0,1549.0,158.0,1707.0,,38763.0,1777.0,40540.0,30632.0,1149.0,31781.0,8131.0,628.0,8759.0,2014
160,PUGLIA,075,LECCE,Muro Leccese,075051,,1725.0,286.0,2011.0,,,,,,,,5350.0,1008.0,6358.0,,,,,,,2014
160,PUGLIA,075,LECCE,Nardò,075052,,33037.0,2275.0,35312.0,21088.0,1226.0,22314.0,11949.0,1049.0,12998.0,,209368.0,12183.0,221551.0,129463.0,6939.0,136402.0,79905.0,5244.0,85149.0,2014
160,PUGLIA,075,LECCE,Novoli,075055,,210.0,77.0,287.0,,,,,,,,770.0,264.0,1034.0,,,,,,,2014
160,PUGLIA,075,LECCE,Ortelle,075056,,602.0,841.0,1443.0,,,,,,,,2422.0,3261.0,5683.0,,,,,,,2014
160,PUGLIA,075,LECCE,Otranto,075057,,104568.0,18255.0,122823.0,58331.0,13214.0,71545.0,46237.0,5041.0,51278.0,,609342.0,67570.0,676912.0,276733.0,45328.0,322061.0,332609.0,22242.0,354851.0,2014
160,PUGLIA,075,LECCE,Palmariggi,075058,,397.0,54.0,451.0,,,,,,,,1716.0,306.0,2022.0,,,,,,,2014
160,PUGLIA,075,LECCE,Parabita,075059,,542.0,172.0,714.0,,,,,,,,2296.0,528.0,2824.0,,,,,,,2014
160,PUGLIA,075,LECCE,Patù,075060,,2391.0,1046.0,3437.0,2010.0,828.0,2838.0,381.0,218.0,599.0,,9305.0,5696.0,15001.0,7389.0,4438.0,11827.0,1916.0,1258.0,3174.0,2014
160,PUGLIA,075,LECCE,Poggiardo,075061,,2308.0,183.0,2491.0,,,,,,,,6035.0,775.0,6810.0,,,,,,,2014
160,PUGLIA,075,LECCE,Presicce,075062,,4673.0,210.0,4883.0,4430.0,175.0,4605.0,243.0,35.0,278.0,,27886.0,1221.0,29107.0,26772.0,1035.0,27807.0,1114.0,186.0,1300.0,2014
160,PUGLIA,075,LECCE,Racale,075063,,387.0,61.0,448.0,,,,,,,,2299.0,490.0,2789.0,,,,,,,2014
160,PUGLIA,075,LECCE,Ruffano,075064,,222.0,44.0,266.0,,,,,,,,522.0,97.0,619.0,,,,,,,2014
160,PUGLIA,075,LECCE,Salice Salentino,075065,,249.0,13.0,262.0,,,,,,,,1234.0,38.0,1272.0,,,,,,,2014
160,PUGLIA,075,LECCE,Salve,075066,,13637.0,544.0,14181.0,7700.0,301.0,8001.0,5937.0,243.0,6180.0,,150437.0,5558.0,155995.0,66750.0,2573.0,69323.0,83687.0,2985.0,86672.0,2014
160,PUGLIA,075,LECCE,Sanarica,075067,,126.0,17.0,143.0,,,,,,,,525.0,54.0,579.0,,,,,,,2014
160,PUGLIA,075,LECCE,San Cesario di Lecce,075068,,237.0,62.0,299.0,,,,,,,,1048.0,224.0,1272.0,,,,,,,2014
160,PUGLIA,075,LECCE,Sannicola,075070,,1894.0,569.0,2463.0,,,,,,,,7677.0,1965.0,9642.0,,,,,,,2014
